transcript,comic_id
"- One last picture! Say cheese! Cheeeez! Flash!
- Good bye! I love you all! 'bye, Grammy!
- It's ad when Grammy goes away. Don't be sad, Penny...
- Grammy never goes away, she just pauses to reload!",dr000202
"- Ralph, you're going to spoil your dinner! How many pieces of can have you eaten?
- Only two or three! If you say two or three, that means nine or ten!
- That isn't true!
- Tho or three means seven or eight! FIVE OR SIX means nine or ten!",dr000203
"- Hello?
- Oh, hello, Norman!
- I know you too well. Only YOU would call me and then be too wimpy to say anything. Thanks for calling. Hang up the phone now.
- And then wipe that stupid look off your face!",dr000204
"- Wendy thinks I'm a wimp. I need to change her perception of me by doing something bold and daring.
- I know! I'll start combing my hair from the opposite side!
-
- On the other hand, there's no need to go overboard!",dr000205
"- Cats are better than dogs!
- Cats are calm, cool and collected!
- Cats are aloof!
- Cats have dignity!
-
-
- AAAAAHHH They have dignity, until you roll a pingpong ball across the floor!",dr000206
"- scribble scribble scribble What are you writing, Norman?
- In honor of Valentine's Day, Wendy, I'm writing a poem about your our relationship!
- ""Slow dance""...""Sew pants""...""Go ants""...
- Huh? I'm trying to give you something that rhymes with ""no chance"".",dr000207
"- I have made the bold decision to give Wendy a Valentine's card!
- Are you going to sign it? Of course I'm going to sign it!
- Let's see, now...how should I sign a Valentine's card to the woman I love?
- Best regards, Norman J. Drabble. (The guy who sits next to you in world history) That ought to melt her heart!",dr000208
"- What's that??
- A Valentine's card??
- Happy ***** day to the woman I ****. I **** you more than *** *** and I am ***** to **** you *******!
- I edited out all the embarrassing parts! How wimpy can you get??",dr000209
"- Wendy thinks I'm a complete wimp.
- Won't she be surprised at the courage I display by giving her a box of candy for Valentine's day!
-
- Although, I suppose throwing it in her yard and running away isn't the most romantic approach!",dr000210
"- *Ahem* Wendy...as you know...uh...well...Valentine's day is coming up...so...uh...
- I was wondering...well...I mean...I was thinking...um...if you'd like to...uh...well...see...
- That is...if you're not busy...uh...well, maybe we could...you know...sort of...well...
- Maybe...you know...sort of...uh...errr... Back in 15 Minutes",dr000211
"- Norman, I'm going out on Valentine's day...
- Since you'll be home, will you record a TV show for me on your VCR?
- What makes you think I'LL be home on Valentine's day??
- Call it a hunch. Nice hunch.",dr000212
"- !
- skattle skattle skattle skattle
- skattle skattle skattle skattle
- skattle skattle skattle
- skattle skattle skattle
- I thought ducks were supposed to flee in terror when a dog comes running at them! That was running?",dr000213
"- You wanted some fatherly advice, son? Yes, dad...
- Wendy thinks I'm a wimp, and I don't know how to change her opinion of me.
- Son, my advice to you is to be bold! Don't be afraid to ask for a date! She may say no, but she can't call you a WIMP anymore!
- A LOSER, maybe, but not a WIMP! ""Loser"" would be an improvement!",dr000214
"- Wendy...will you...uh...what I'm trying to say is...will you...uh... SIGH
- Be bold, son!
- Will you marry me?
- MARRY you? I said BOLD, not INSANE!!!",dr000215
"- That's right, I just proposed marriage! Pretty bold and daring, isn't it?!
- I guess that blows your theory that I'm a wimp, doesn't it?!
- So what do you say, Wendy? Yes or no??
- Yes. HA! I knew you'd say no because you...WHAT??!!",dr000216
"- Did you just accept my marriage proposal??? On the condition that we elope to Las Vegas immediately!
- Why???? Because I know you'll wimp out! The only question is how long it will take you!
- Let's go! I'm betting you'll wimp out before we even get in the car! Well, you're wrong!
- I refuse to wimp-out until we're at least out of the parking garage!",dr000217
"- I can't believe you want to marry me! I DON'T want to marry you.
- The only reason I accepted your marriage proposal was to call your bluff!
- I have no doubt that you'll wimp out before we get to Las Vegas!
- Three things in life a certain: death, taxes, and Norman Drabble will wimp out! That's it! I could fake my own death!",dr000218
"- Hello? ...oh, hi, Norm! Where are you?
- BARSTOW?? What are you doing in Barstow??
- ...you're on your way to Las Vegas to get married? Wow, congratulations!
- I gotta go, Norm. Your mom just fainted. Drop a nickel in the slot machine for me, OK?",dr000219
"- Good morning, Nor...
- DO NOT SAY ANOTHER WORD!!!
- I crammed all night for today's exam, and my brain is now filled to capacity!
- I cannot squeeze another bit of information into my head!
- If one more thought enters my mind, it will displace something that's already in there!
- I took a bubble bath last night. Rats! There went the Kansas-Nebraska Act!",dr000220
"- My fiancee and I would each like a chocolate shake, please!
- Oh, you're engaged? We're on our way to Las Vegas to get married!
- Not really. I only accepted his proposal because I know he'll wimp out, thus proving once and for all that he's the biggest wimp on the face of the earth!
- Whatever! Do you mind if my pet duck comes to live with us, darling?",dr000221
"- Norman, we're about to cross the Nevada state line. Don't you feel the slightest urge to wimp out, yet? Nope.
- I fact, I've been thinking...after we get married, we're going to need a place to live.
- Can we move in with YOUR parents?
- I don't think you'd like living with mine, on account of my dad likes to walk around in the house in his underwear! As soon as you feel like wimping out, go for it!",dr000222
"- I can't believe we're in Las Vegas. And there's a wedding chapel!
- The ""Burnin' Love Marriage Chapel""! Marriages performed by an authentic Elvis impersonator! Come on, let's go!
- Hi! _If we pay you in cash, will you marry us right now? Uh-huh!
- Right this way, y'all! I'm impressed, Norman. You're obviously going to wait until the last second to wimp out!",dr000223
"- Do you take this man to be your lawfully wedded husband? Oh, sure.
- And do you, Norman, take this woman... Norman, it's OK to wimp out, now! You've proven your point!
- To be your lawfully wedded wife? I promise never to call you a wimp again! You da'man! Now call it off and let's go home!
- I do. I now pronounce y'all husband and wife! AAAUUGH!!",dr000224
"- You may kiss the bride. NO, HE MAYN'T!! I ""mayn't""?
- This can't be happening! Please tell me I didn't just marry Norman Drabble! Please, please tell me we're not married!!
- Y'all are married! Have a nice day, now!
- I WANT A DIVORCE!! What, and throw away the best 20 seconds of our lives??",dr000225
"- I can't believe we got MARRIED!! How are we going to get out of this??
- Wendy, Wendy, Wendy...relax! There's a simple explanation for all of this! Isn't it obvious? This is all a...
- Editor's Note: Cartoonist is hereby reminded that this storyline may not end as another ""Dream Sequence"". According to contractual agreement, if the cartoonist draws himself into a corner, he may resort to lame ""Dream Sequence"" ending only once every ten years. So, don't even THINK about it!
- Never mind! My life is over.",dr000226
"- Every golfer needs a good caddie.
- A good caddie knows the game of golf forwards and backwards.
- A good caddie knows what the golfer wants almost instinctively! They are one of mind.
- Give me a sand wedge, Norm.
- Right!
-
- ?
- Is ham and cheese OK? ...Sigh...",dr000227
"- Rats! I'm down 35 cents! Sorry, Wendy. This isn't a good day to begin marriage!
- Cocktails! Cocktails! Would you care for a cocktail, ma'am?
- BUZZ OFF, BLONDIE! I'VE GOT A LOT ON MY MIND!!
- I apologize for my wife. She's a bit uptight because we just accidentally got married! His wife! Happens all the time!",dr000228
"- I can't believe we got married! Why didn't you wimp out like you were supposed to do?? Wendy, one day, I'm sure we'll look back on this and laugh!
- Ladies and gentlemen...I've been told we have newlyweds dining with us tonight...
- Congratulations, Mr. and Mrs. Drabble!
- Sorry to make a scene, but that pushed me over the edge. I sure hope this town has an accordeon repairman!",dr000229
"- This is a nightmare! By a cruel twist of fate, I find myself in Las Vegas, married to Norman Drabble!
- Maybe if I remain calm, I'll be able to think of a reasonable solution to all this.
- I've got it!
- Where are you going? The MIRAGE to throw myself into a volcano!",dr000301
"- I can't believe I'm married to Norman Drabble. My worst nightmare has become a reality. My life is ruined.
- Maybe it's not so bad. Maybe I could make it work...
- Maybe it won't be so horrible being married to Norman.
- Wendy, guess what! This hotel has an arcade! I think I'll go back to the wedding chapel and plead insanity!",dr000302
"- Hello...you've got to help us! We got married here earlier today, and... You did? Why don't I recognize you?
- We were married by a different Elvis impersonator. Oh, no...
- Weldon, did you... I'm sorry, daddy,,,they wanted to get hitched right away, and you were at lunch, so I...
- Folks, Weldon, here, is not an ordained Elvis impersonator. I'm afraid you're not legally married! So, should we do it over? NO!",dr000303
"- What a relief not to be married to you!
- I feel like I've been granted a REPRIEVE! I will never again take for granted a moment of my life that I am unmarried with you!
- Thank you for messing everything up, Norman!
- You've made me the happiest woman in the world! I should've married you sooner!",dr000304
"- Look what I've got, Oogie! The laser pointer!
- What's that?! It's a bug!!
- Whoa!
- It's alive!!
- Where'd it go? click!
- There it is! Go get it!! scramble scramble scramble
- It's amazing how such a simple thing can occupy that tiny mind for hours!
- I guess cats are pretty stupid. I was talking about your father!",dr000305
"- I love this game show! Contestants, put these donuts in order of size, starting with the smallest: A: Long John B: Plain C: Donut Hole D: Twist
- The correct order is: C.B.D.A! And the winner is...
- RALPH DRABBLE!!
- YAY, DAD!! I love you, Regis. Put me down!",dr000306
"- Ralph, here's your first question for $100...Humpty Dumpty sat on what? A: Roof B: Wall C: Tack D: Whoopee Cushion
- Hm...history isn't my best subject, Regis!
- I think I'll use my ""50:50"" lifeline. In the first question?? All right, take away two answers, please!
- Ralph, the correct answer is either ""wall"" or ""whoopee cushion"". Darn! Those were the two I couldn't decide between!",dr000307
"- I think I'd like to poll the audience, Regis! You want to use your SECOND LIFELINE on your FIRST QUESTION??
- OK, audience, Ralph needs your help. Did Humpty Dumpty sit on (B.) a wall, or (D.) a whoopee cushion? Please vote now!
- The results are in, Ralph. 100% of the audience says the correct answer is ""B"".
- This audience looks pretty stupid tome, Regis. I think I'd like to use another lifeline!",dr000308
"- Regis, I think I need to use my last lifeline!
- You're going to use up all your lifelines on the FIRST QUESTION?? This is highly unusual, Ralph!
- I know, but I think I'll call my young son, Patrick. He's a lot smarter than I am! Then again, who isn't? MOM, YOU NEED TO GET OFF THE PHONE FOR A FEW MINUTES!",dr000309
"- Patrick, we've got 30 seconds! Humpty Dumpty sat on what? A wall or a woopee cushion?? Before I give you the answer, dad, how much of the money will I get?
- Money?? Oh...uh...OK, I'll give you ten percent! No deal. We split it fifty-fifty! Take it or leave it!
- ALL RIGTH!! FIFTY-FIFTY!! NOW WHAT'S THE ANSWER?? Just kidding! The correct answer is...
- BZZZT!! Sorry, Ralph. You ran out of time! AAUGGH! Boy, are you gonna be in trouble!",dr000310
"- Ralph, you've used up all three of your lifelines, and you still haven't answered the FIRST QUESTION!
- I know, Regis, and I think I'm going to quit now and walk away!
- Walk away?? But you haven't won any money yet!! I think it's better to quit now than to risk the indignity of losing on the first question.
- Besides, that pulsating background music is giving me a headache! click",dr000311
"- Boy, am I exhausted! Why?
- Because daddy had a hard day at work, Penny! Why?
- Things were hectic! Why?
- You know, Penny...daddy doesn't like it when you ask ""why"" all the time! Why?
- Well, because it's not necessary for me to explain everything! Why?
- Because little kids don't need to know everything that's going on! Why?
- Because some things don't concern you! Why?
- Mommy, I need help in here! Why?",dr000312
"-
-
-
- I thought you said this was ""Pajama Day"" My mistake!",dr000313
"- All right, Patrick...suppose you're playing catcher, and the runner tries to steal...
- You spring to your feet and...
- Whoa!
- ...get real dizzy! I guess this explains why there aren't many middle-aged catchers.",dr000314
"- I hate to tell you this, Wally, but you have an appointment with the vet. !
- skattle skattle skattle skattle skattle
- It's no use trying to flee.
- Especially in your case! skattle skattle skattle skattle skattle",dr000315
"- Wally! You're back from the vet! That wasn't so bad, was it?
- If you ask me, that vet was a little pushy!",dr000316
"- Crime, greed, assault, murder and mayhem! That's all they talk about anymore!
- It makes me depressed!
- If it depresses you so much, why do you watch the news??
- This is the SPORTS REPORT!!",dr000317
"- Wendy says that I'm easy to ignore.
- She says that's why nobody ever pays attention to me.
- Do you think I'm easy to ignore, dad?
- Dad?",dr000318
"- My wife is talking about something, but I have no idea what.
- That's because I tuned out a while back. The trick is to make it look like I'm still listening.
- There are several methods...for example, if she smiles, I smile!
- If she frowns, I frown.
- Stroking my chin while staring into space gives the impression that I'm pondering her words.
- A few non-committal verbal reactions are also helpful. Is that right? You don't say! Uh-huh...
- Finally good eye contact is a must!
- The key to a successful relationship is to always act like you're paying attention!",dr000319
"- Ralph, how would you like to go to a dinner party at the Smiths' on Friday night?
- I'd hat it. It's that last thing on earth I'd want to do.
- I'd rather be tied to an ant hill naked. Let me rephrase the question.
- We're going to the Smiths' dinner party on Friday night! I hate it when she rephrases the question.",dr000320
"- Ralph, why don't you want to go th the Smiths' party?? I hate parties, honeybunch!
- I'm just not a ""people person"".
- That's all right...
- None of them are ""grunt-head persons"", so you'll all be even!",dr000321
"- Honeybunch, you'd better call the Smiths and tell them I probably won't be able to attend their dinner party! Why?
- I think I might be coming down with something! Like what?
- Well, let's see...today is Wednesday morning...the party is Friday night...
- Hopefully, it's a case of the 72-hour flu!",dr000322
"- Drabble! What are YOU doing here??
- I heard you had a bad case of the flu, Steinbauer, so I rushed right over! Why??
- Because my wife is making me go to some dumb party on Friday, and I'm hoping I'll get sick so I won't have to go!
- Feel free to sneeze in my direction!",dr000323
"- All right, Ralph, you win! I guess you can't go to the party if you can't even get out of bed! I'll go by myself!
- SLAM!
-
- Just as I suspected. Get your clothes and let's go!",dr000324
"- I must admit, honeybunch, I actually had a good time at the party tonight!
- I can't believe you tried to catch a cold in order to avoid going!
- Heh! Heh! Thank goodness it didn't work!
- ASHOO! I'll go plug in the humidifier!",dr000325
"- I think I'll take a few laps around the track!
- Hello! Hello!
-
- Hello, again! Hello, again!
-
-
-
- Cough! Cough! Cough! Cough!
- There ought to be a rule that everyone jogging around a track has to go in the same direction!",dr000326
"- Rock music...rock music...rock music...who changed all my radio buttons?? punch punch punch
- I did, dad! When did you do that?
- This morning when I drove to the cleaners!
- You reprogrammed my radio buttons for a THREE-MILE DRIVE?? I almost got the car painted, but it was too expensive.",dr000327
"- Come on, Patrick...burn a fastball in here!
- Here we go...show me some heat, baby!
- WHOA!!
- My shins just flashed before my eyes!",dr000328
"- Hi, Wendy!
- Wendy?? Huh??
- Oh, sorry, Norman! I didn't mean to ignore you!
- It's just that you're so highly ignorable!",dr000329
"- Before I putt, I need to remove the pin.
- putt!
- Yes!! What a putt! It stopped only an inch past the hole!!
- Imagine that!",dr000330
"- Daddy, mommy isn't home, so I'll ask YOU this question...
- Can I have a cupcake? Sure.
- REALLY?? THANK YOU, DADDY!!
- Something tells me that's not the answer mommy would have given! Daddy is the greatest! Daddy is great!",dr000331
"- I don't understand why Wally runs so slowly. skattle skattle skattle
- I thought wiener dogs were fast! skattle skattle skattle skattle
- They are, but not if they have a big stomach!
- How do you know? Are you an authority on wiener dogs? No, he's an authority on big stomachs!",dr000401
"- I hurt my back cleaning out the garage and it's bothered me all day!
- The refrigerator has been making a funny noise lately.
- Did you see what color they painted the house across the street? It looks horrible!
- I wish our kids would learn to put their backpacks away after school. They clutter up the living room!
- By the way, the car was idling rough today.
- I think we might have termites, and it's going to cost a fortune to get rid of them!
- Patrick's little league coach...doesn't know...what...he's...doing.
- Z Some people read, some people count sheep...my wife like to COMPLAIN herself to sleep!",dr000402
"- Dad, I need some fatherly advice...
- Hang on, Norm! I need to change into my ""fatherly advice"" outfit!
-
- Now, what seems to be the problem, son? I forget!",dr000403
"- Norm, step into my private study! Private study??
- On ""Father Knows Best,"" whenever Bud needed fatherly advice, Ward always invited him into his private study!
- Ward was the father on ""Leave It To Bever"", not ""Father Knows Best."" Are you trying to tell me my '50s sitcom history, son?
- No, sir. Sounds like you've been hanging around wit that Eddie Haskell kid again!",dr000404
"- Step into my study for some fatherly advice, son!
- STUDY?? This is the BATHROOM! I know...we don't have a real study, so this is the next best thing!
- Have a seat! I think I'd rather stand!",dr000405
"- ""Tomorrow is another day"". No... ""Look before you leap"". No... How about...""everyone puts on their pants the same way, one leg at a time.""
- Yeah, that's good! I can use that one. Thanks, dad!
- ANYONE ELSE NEED FATHERLY ADVICE? I'M ON A ROLL!",dr000406
"- If anyone wants some fatherly advice, I'll be in my study!
-
-
- Need some fatherly advice, Patrick? No, I just need to brush my teeth!",dr000407
"- Do I have to eat broccoli, mommy?
- No, Penny, you GET TO eat broccoli!
-
- Do I HAVE TO get to?",dr000408
"- A yo-yo! Can I try it, Norm?
- I used to be pretty good! Let's see if I remember a thing or two!
- ""Walk the dog""
- ""Rock the baby""
- ""Thread the needle""
- ""Shoot the moon""
- BASH!
- ""Break the chandelier!"" Now watch me ""scold the grunt head"".",dr000409
"-
- I don't know why you're always so worried about money, dad...
- You have slightly more than 27 million dollars in the bank!
- Let's not ask Norman to balance the checkbook anymore!",dr000410
"- I'm feeling kind of stressed. Stressed?? What do you have to be stressed about??
- You obviously don't know what it's like to be a kid these days, dad!
- That's true...
- When I was a kid, the only thing we had to worry about were nuclear annihilation and pay-TV!",dr000411
"-
- I was looking out the window and I said to myself ""it would be fun to take a walk in the rain!.
-
- I've got to stop listening to me.",dr000412
"- Uh-oh...it's starting to rain!
- Come on, Wally! Let's run back home before we get soaked!
- skattle skattle skattle
- skattle skattle skattle skattle",dr000413
"- ...SIGH...
- I hate election years.
- I never know whether to vote for the politician who's lying to me because he's dishonest...
- Or the politician who's lying to me for his own good!",dr000414
"- Z whirrrrrr
- rrrRRRRR
- KKRINNGG!
- Interesting haircut! It's the malepattern baldness look!",dr000415
"- ?
- You were right...
-
-
- Never do Yo-Yo tricks...
-
-
- ...under a ceiling fan. Especially if it's on?",dr000416
"- ...and that's our up-to-the-minute traffic report! If you have any traffic conditions to report, call our traffic tips hotline!
- beep beep boop beep!
- Hello, traffic hotline? Tipster Drabble, here! I'm on the southbound 405, and everything looks pretty good! Over and out!
- I like my new cell phone!",dr000417
"- So long, honeybunch! Where are you going, Ralph? It's your day off!
- Ever since we got that cell phone in the car, I like to drive around and report traffic conditions to the radio station!
- Do you think that's dumb? Certainly not!
- Whatever gets him out of the house!",dr000418
"- Traffic hotline? Tipster Drabble, here! I'm calling to report a bad situation on the 57 freeway!
- Traffic is backed-up for miles! It's total gridlock! Everyone should take an alternate route!
- Repeating: the 57 freeway is at a standstill!! Do not get on this freeway!!
- What are you talking about, dad? It's practically empty! I know, and I want to keep it that way until we get home!",dr000419
"- Hello, traffic hotline? Tipster Drabble, here...
- I'm following a blue convertible with expired license tags!
- I intend to pull him over and make a citizen's arrest! Over and out!
- EERRRRRRRRRR",dr000420
"- Hello, traffic hotline? Tipster Drabble here.
- I want to report a stalled vehicle in the middle lane of th 91 freeway.
- Traffic is backed-up for miles. Lots of looky-loo slowing!
- ...Sigh...",dr000421
"- Hello, traffic hotline? Tipster Drabble, again...
- I'm on Beach Boulevard and some creep in a green pickup just cut me off!
- I wondered if you could have the traffic jetcopter follow him home, maybe buzz his house and scare him a little bit, and...
- Hello?",dr000422
"- Where is it??
- I had a big chocolate eater egg, and I can't find it!!
- Did somebody eat my chocolate easter egg? No, dad!
- Very strange.
- Where could it be?
-
- AH! HA!
- Nice try, but you can't hatch a chocolate easter egg! Oh, good. I thought I was just a lousy mom.",dr000423
"- Norm, give me your hones opinion...
- Does this shirt make me look fat?
- No.
- Your STOMACH makes you look fat!",dr000424
"- I'm drawing a picture of the worst crash ever!
- All these things are crashing together: a car, a boat, a train...
- A plane, a tank, a meteor, a truck full of bowling balls, and a guy on a bicycle!
- A guy on a bicycle? Good thing he's wearing a helmet.",dr000425
"- Ralph! What are you eating??!!
- munch munch
- munch munch munch
- munch munch...
- Gulp!
- Nothing!",dr000426
"- It's my turn to pick up the neighborhood kids from school.
- Every time we drive through the tunnel, they all start screaming and yelling for me to honk the horn!
- It stresses me out!
- Sounds like a classic case of carpool tunnel syndrome.",dr000427
"- Hi, honeybunch! I'm just calling to find out what's for dinner!
- You're going to try a new recipe? ...you read about it in a magazine? Oh, boy...
- Creamy chicken a la asparagus? ...mmm, yo'ummy! I'll be home in about an hour!
- So, what are you having for dinner? I'm going to stop off and get a burger!",dr000428
"- Have you ever considered a part-time job, Norm?
- Wouldn't you be proud to be gainfully employed?
- I prefer to think of myself as a stay-at-home son!",dr000429
"- Nothing is more enjoyable on the weekend than lounging around the house in a t-shirt.
-
-
- Hmm...
- What?? Oh, nothing...
- For some reason, it just occurred to me that I haven't gone skiing for quite a while!",dr000430
"- I bought you a new shirt, Ralph!
- I hope it's big enough!
- It better be...
- That label has more X's on it than the last Superbowl!",dr000501
"- drip! drip! schlop schlop schlop schlop
- drip drip drip See?
- I stand corrected, Norm... schlop schlop schlop drip drip
- Apparently, you DO have sense enough to come in out of the rain!",dr000502
"- Boys, I rose from the depths of poverty to become what I am today...
- A highly successful mall cop!
- My dreams have come true. I guess you could say my life has been kind of a CINDERELLA story!
- The only thing you and Cinderella have in common is that you both have a couple of ugly sisters!",dr000503
"- HEY, DON'T SCRATCH THAT! pick pick claw claw
- GET AWAY FROM THERE!!
- I thought we WANTED Oogie to use the scratching post, dad! We do...
- The best way to get a cat to do something is to pretend you don't want her to do it! scratch scratch claw claw",dr000504
"- I think I understand the popularity of there prime-time game shows...
- They're rated ""G"". Families can watch then together without concern about seeing something inappropriate for children!
- Whoa! Now, if they could only do something about the commercials! Coming up next on NYPD BLUE...",dr000505
"- How about this one? Nope...not mean enough!
- My friend Bill Crisp is turning 50 years old! I want to find a card that makes him feel TERRIBLE about it!
- Why would you want to make him feel terrible about turning 50??
- Because that's what friends are for!",dr000506
